Ticker,Date/Time,Close,Trend_MACD_RSI,Trend_MACD_SIGNAL
SPY,17/09/2020,335.84,1.00,2.00
SPY,18/09/2020,330.65,1.00,2.00
SPY,21/09/2020,326.97,1.00,2.00
SPY,22/09/2020,330.30,1.00,2.00
SPY,23/09/2020,322.64,1.00,2.00
SPY,24/09/2020,323.50,1.00,1.00
SPY,25/09/2020,328.73,1.00,1.00
SPY,28/09/2020,334.19,1.00,1.00
SPY,29/09/2020,332.37,1.00,1.00
SPY,30/09/2020,334.89,1.00,1.00
SPY,01/10/2020,337.04,1.00,1.00
SPY,02/10/2020,333.84,2.00,1.00
SPY,05/10/2020,339.76,2.00,1.00
SPY,06/10/2020,334.93,2.00,1.00
SPY,07/10/2020,340.76,3.00,2.00
SPY,08/10/2020,343.78,3.00,2.00
SPY,09/10/2020,346.85,3.00,2.00
SPY,12/10/2020,352.43,3.00,3.00
SPY,13/10/2020,350.13,3.00,3.00
SPY,14/10/2020,347.93,3.00,3.00
SPY,15/10/2020,347.50,3.00,3.00
SPY,16/10/2020,347.29,3.00,3.00
SPY,19/10/2020,342.01,3.00,3.00
SPY,20/10/2020,343.38,3.00,3.00
SPY,21/10/2020,342.73,3.00,3.00
SPY,22/10/2020,344.61,3.00,3.00
SPY,23/10/2020,345.78,3.00,3.00
SPY,26/10/2020,339.39,3.00,3.00
SPY,27/10/2020,338.22,2.00,3.00
SPY,28/10/2020,326.66,1.00,2.00
SPY,29/10/2020,329.98,1.00,2.00
SPY,30/10/2020,326.54,1.00,2.00
SPY,02/11/2020,330.20,1.00,2.00
SPY,03/11/2020,336.03,1.00,1.00
SPY,04/11/2020,343.54,1.00,1.00
SPY,05/11/2020,350.24,1.00,1.00
SPY,06/11/2020,350.16,3.00,2.00
SPY,09/11/2020,354.56,3.00,3.00
SPY,10/11/2020,354.04,3.00,3.00
SPY,11/11/2020,356.67,3.00,3.00
SPY,12/11/2020,353.21,3.00,3.00
SPY,13/11/2020,358.10,3.00,3.00
SPY,16/11/2020,362.57,3.00,3.00
SPY,17/11/2020,360.62,3.00,3.00
SPY,18/11/2020,356.28,3.00,3.00
SPY,19/11/2020,357.78,3.00,3.00
SPY,20/11/2020,355.33,3.00,3.00
SPY,23/11/2020,357.46,3.00,3.00
SPY,24/11/2020,363.22,3.00,3.00
SPY,25/11/2020,362.66,3.00,3.00
SPY,27/11/2020,363.67,3.00,3.00
SPY,30/11/2020,362.06,3.00,3.00
SPY,01/12/2020,366.02,3.00,3.00
SPY,02/12/2020,366.79,3.00,3.00
SPY,03/12/2020,366.69,3.00,3.00
SPY,04/12/2020,369.85,3.00,3.00
SPY,07/12/2020,369.09,3.00,3.00
SPY,08/12/2020,370.17,3.00,3.00
SPY,09/12/2020,366.85,3.00,3.00
SPY,10/12/2020,366.73,3.00,3.00
SPY,11/12/2020,366.30,3.00,3.00
SPY,14/12/2020,364.66,3.00,3.00
SPY,15/12/2020,369.59,3.00,3.00
SPY,16/12/2020,370.17,3.00,3.00
SPY,17/12/2020,372.24,3.00,3.00
SPY,18/12/2020,369.18,3.00,3.00
SPY,21/12/2020,367.86,3.00,3.00
SPY,22/12/2020,367.24,3.00,3.00
SPY,23/12/2020,367.57,3.00,3.00
